customer_id,plan,monthly_price,signup_date,cancel_date,renewal_date,churned,payment_method
CUST_00001,Advanced,200,2025-09-25,,2026-09-25,0,paypal
CUST_00002,Plus,85,2024-11-22,,2025-11-22,0,paypal
CUST_00003,Simple Start,30,2025-10-24,,2026-10-24,0,credit_card
CUST_00004,Simple Start,30,2024-06-10,,2025-06-10,0,bank_transfer
CUST_00005,Essentials,55,2025-06-13,,2026-06-13,0,bank_transfer
CUST_00006,Simple Start,30,2025-11-23,2026-12-18,,1,bank_transfer
CUST_00007,Plus,85,2025-08-17,,2026-08-17,0,bank_transfer
CUST_00008,Advanced,200,2024-09-17,,2025-09-17,0,bank_transfer
CUST_00009,Plus,85,2024-10-31,,2025-10-31,0,credit_card
CUST_00010,Essentials,55,2024-07-30,2025-07-04,,1,bank_transfer
CUST_00011,Simple Start,30,2026-02-02,,2027-02-02,0,credit_card
CUST_00012,Simple Start,30,2025-03-06,,2026-03-06,0,credit_card
CUST_00013,Essentials,55,2025-09-09,,2026-09-09,0,bank_transfer
CUST_00014,Advanced,200,2024-06-21,,2025-06-21,0,paypal
CUST_00015,Advanced,200,2026-03-12,,2027-03-12,0,paypal
CUST_00016,Plus,85,2025-05-03,,2026-05-03,0,paypal
CUST_00017,Advanced,200,2024-10-26,,2025-10-26,0,credit_card
CUST_00018,Essentials,55,2024-09-26,2025-01-31,,1,credit_card
CUST_00019,Simple Start,30,2025-03-07,,2026-03-07,0,credit_card
CUST_00020,Simple Start,30,2026-03-02,2027-02-27,,1,credit_card
CUST_00021,Essentials,55,2026-02-01,,2027-02-01,0,paypal
CUST_00022,Essentials,55,2024-10-27,2025-07-21,,1,credit_card
CUST_00023,Advanced,200,2025-06-08,,2026-06-08,0,credit_card
CUST_00024,Essentials,55,2024-09-02,,2025-09-02,0,paypal
CUST_00025,Advanced,200,2025-04-14,,2026-04-14,0,bank_transfer
CUST_00026,Simple Start,30,2024-09-01,,2025-09-01,0,paypal
CUST_00027,Essentials,55,2024-06-22,2025-05-09,,1,bank_transfer
CUST_00028,Simple Start,30,2026-01-22,2026-04-14,,1,paypal
CUST_00029,Advanced,200,2025-08-22,,2026-08-22,0,bank_transfer
CUST_00030,Plus,85,2026-03-16,2026-11-05,,1,bank_transfer
CUST_00031,Advanced,200,2025-07-07,,2026-07-07,0,credit_card
CUST_00032,Simple Start,30,2025-04-19,,2026-04-19,0,bank_transfer
CUST_00033,Simple Start,30,2025-11-28,2026-11-24,,1,bank_transfer
CUST_00034,Advanced,200,2024-08-07,,2025-08-07,0,paypal
CUST_00035,Plus,85,2025-12-30,,2026-12-30,0,bank_transfer
CUST_00036,Simple Start,30,2025-05-31,2025-10-06,,1,bank_transfer
CUST_00037,Plus,85,2026-03-30,,2027-03-30,0,paypal
CUST_00038,Essentials,55,2026-03-29,,2027-03-29,0,paypal
CUST_00039,Plus,85,2025-05-29,,2026-05-29,0,paypal
CUST_00040,Advanced,200,2025-05-20,,2026-05-20,0,bank_transfer
CUST_00041,Advanced,200,2026-03-25,,2027-03-25,0,paypal
CUST_00042,Plus,85,2025-07-09,,2026-07-09,0,credit_card
CUST_00043,Essentials,55,2025-10-20,,2026-10-20,0,paypal
CUST_00044,Simple Start,30,2025-05-02,,2026-05-02,0,credit_card
CUST_00045,Essentials,55,2025-02-03,2026-01-09,,1,bank_transfer
CUST_00046,Simple Start,30,2024-05-22,,2025-05-22,0,bank_transfer
CUST_00047,Plus,85,2024-06-10,,2025-06-10,0,paypal
CUST_00048,Simple Start,30,2024-12-19,,2025-12-19,0,bank_transfer
CUST_00049,Plus,85,2025-11-29,,2026-11-29,0,credit_card
CUST_00050,Essentials,55,2025-05-19,,2026-05-19,0,paypal
CUST_00051,Simple Start,30,2025-10-10,,2026-10-10,0,bank_transfer
CUST_00052,Advanced,200,2025-05-14,,2026-05-14,0,credit_card
CUST_00053,Simple Start,30,2025-12-03,,2026-12-03,0,bank_transfer
CUST_00054,Plus,85,2024-10-11,,2025-10-11,0,bank_transfer
CUST_00055,Simple Start,30,2024-10-06,,2025-10-06,0,paypal
CUST_00056,Plus,85,2024-07-14,,2025-07-14,0,paypal
CUST_00057,Simple Start,30,2025-07-10,,2026-07-10,0,bank_transfer
CUST_00058,Advanced,200,2026-03-06,,2027-03-06,0,credit_card
CUST_00059,Simple Start,30,2025-05-25,,2026-05-25,0,paypal
CUST_00060,Simple Start,30,2024-09-21,,2025-09-21,0,credit_card
CUST_00061,Simple Start,30,2024-12-08,2025-03-08,,1,credit_card
CUST_00062,Plus,85,2025-12-05,,2026-12-05,0,bank_transfer
CUST_00063,Advanced,200,2025-01-02,,2026-01-02,0,bank_transfer
CUST_00064,Simple Start,30,2025-07-11,2026-02-12,,1,bank_transfer
CUST_00065,Essentials,55,2025-08-13,2025-12-24,,1,bank_transfer
CUST_00066,Advanced,200,2025-06-15,,2026-06-15,0,credit_card
CUST_00067,Essentials,55,2024-07-08,,2025-07-08,0,bank_transfer
CUST_00068,Plus,85,2026-04-08,,2027-04-08,0,credit_card
CUST_00069,Simple Start,30,2024-06-16,2025-07-17,,1,bank_transfer
CUST_00070,Plus,85,2025-08-13,,2026-08-13,0,credit_card
CUST_00071,Essentials,55,2024-10-22,,2025-10-22,0,paypal
CUST_00072,Advanced,200,2024-08-26,,2025-08-26,0,credit_card
CUST_00073,Advanced,200,2025-12-21,,2026-12-21,0,bank_transfer
CUST_00074,Advanced,200,2025-07-28,,2026-07-28,0,paypal
CUST_00075,Plus,85,2025-06-13,,2026-06-13,0,bank_transfer
CUST_00076,Essentials,55,2026-03-31,,2027-03-31,0,paypal
CUST_00077,Simple Start,30,2024-09-16,2025-03-26,,1,bank_transfer
CUST_00078,Essentials,55,2026-02-02,,2027-02-02,0,bank_transfer
CUST_00079,Simple Start,30,2025-07-21,,2026-07-21,0,paypal
CUST_00080,Essentials,55,2024-08-29,,2025-08-29,0,credit_card
CUST_00081,Plus,85,2025-12-14,,2026-12-14,0,paypal
CUST_00082,Plus,85,2025-08-29,,2026-08-29,0,bank_transfer
CUST_00083,Plus,85,2025-09-21,2026-03-13,,1,paypal
CUST_00084,Essentials,55,2026-03-04,,2027-03-04,0,bank_transfer
CUST_00085,Essentials,55,2026-02-19,,2027-02-19,0,paypal
CUST_00086,Advanced,200,2026-01-05,,2027-01-05,0,paypal
CUST_00087,Advanced,200,2025-04-24,,2026-04-24,0,bank_transfer
CUST_00088,Simple Start,30,2024-08-11,2025-02-28,,1,bank_transfer
CUST_00089,Essentials,55,2026-02-24,,2027-02-24,0,paypal
CUST_00090,Plus,85,2024-06-18,,2025-06-18,0,paypal
CUST_00091,Plus,85,2026-01-25,,2027-01-25,0,paypal
CUST_00092,Essentials,55,2024-11-26,2025-09-28,,1,paypal
CUST_00093,Plus,85,2026-04-03,,2027-04-03,0,bank_transfer
CUST_00094,Advanced,200,2024-11-16,,2025-11-16,0,credit_card
CUST_00095,Simple Start,30,2024-06-05,,2025-06-05,0,bank_transfer
CUST_00096,Plus,85,2025-04-01,2026-03-30,,1,credit_card
CUST_00097,Advanced,200,2025-11-12,,2026-11-12,0,paypal
CUST_00098,Simple Start,30,2026-03-14,,2027-03-14,0,credit_card
CUST_00099,Essentials,55,2025-05-09,,2026-05-09,0,bank_transfer
CUST_00100,Essentials,55,2026-03-24,,2027-03-24,0,paypal
CUST_00101,Essentials,55,2024-10-13,2025-08-03,,1,paypal
CUST_00102,Essentials,55,2024-07-09,,2025-07-09,0,bank_transfer
CUST_00103,Advanced,200,2025-03-23,,2026-03-23,0,paypal
CUST_00104,Advanced,200,2024-08-14,,2025-08-14,0,credit_card
CUST_00105,Simple Start,30,2024-12-08,2025-03-14,,1,bank_transfer
CUST_00106,Essentials,55,2025-02-09,,2026-02-09,0,bank_transfer
CUST_00107,Advanced,200,2025-06-18,,2026-06-18,0,paypal
CUST_00108,Advanced,200,2024-10-11,,2025-10-11,0,paypal
CUST_00109,Advanced,200,2024-05-18,,2025-05-18,0,bank_transfer
CUST_00110,Advanced,200,2024-07-10,,2025-07-10,0,bank_transfer
CUST_00111,Essentials,55,2024-08-21,2024-11-24,,1,bank_transfer
CUST_00112,Advanced,200,2025-01-25,,2026-01-25,0,paypal
CUST_00113,Simple Start,30,2024-10-12,,2025-10-12,0,bank_transfer
CUST_00114,Advanced,200,2024-09-28,2025-01-16,,1,paypal
CUST_00115,Plus,85,2026-02-23,,2027-02-23,0,credit_card
CUST_00116,Advanced,200,2025-04-15,,2026-04-15,0,bank_transfer
CUST_00117,Plus,85,2025-04-25,2025-08-11,,1,credit_card
CUST_00118,Plus,85,2026-01-25,,2027-01-25,0,bank_transfer
CUST_00119,Plus,85,2025-10-14,,2026-10-14,0,credit_card
