transaction_id,customer_id,date,amount,category,type,description
8c86011f-5fc6-42c0-a6fa-f4da755ada37,CUST_00001,2026-03-15,108.83,Rent,expense,benchmark cross-media initiatives
cc3b0944-1964-4188-85d7-ff566731802f,CUST_00001,2025-10-15,205.73,Marketing,expense,synergize robust channels
cf5a8ad5-b3f7-4aa9-a22c-439fe0b874ce,CUST_00001,2025-12-08,94.55,Marketing,income,transform sticky networks
1a5de7d0-0b7e-4091-a728-7bd160541167,CUST_00001,2025-12-15,169.09,Consulting,expense,repurpose one-to-one vortals
8061c582-6066-4568-bb77-5c6c9e94eff7,CUST_00001,2025-10-03,25.22,Software,income,re-contextualize e-business communities
a6400ec7-54b1-422c-9f00-8457dd1eebd0,CUST_00001,2025-11-11,316.07,Travel,expense,exploit user-centric users
fab2ed05-ed05-46cb-b6fa-cffc890049c9,CUST_00001,2026-02-03,245.05,Payroll,income,matrix wireless technologies
8ba8bff9-f1d2-4fbb-9957-a0d6985325f2,CUST_00001,2026-02-19,91.79,Equipment,expense,drive transparent portals
ea31018c-f3b7-4cf1-a432-2303ae598b46,CUST_00001,2026-05-18,539.74,Marketing,income,syndicate cutting-edge mindshare
8d444cf1-1f8c-4da8-8ef9-f03af92ee0bd,CUST_00001,2026-03-10,753.77,Insurance,income,innovate next-generation channels
8cfdcd64-53f6-4b4a-b223-9590d652d9b6,CUST_00001,2026-01-11,35.55,Equipment,expense,architect plug-and-play architectures
dd301e0f-d983-42f2-b3c3-7208e35eb963,CUST_00001,2026-03-07,97.98,Equipment,income,streamline value-added mindshare
a7e1416d-ee01-4444-954c-9b0a92d4152b,CUST_00001,2025-12-10,97.23,Consulting,income,mesh real-time content
f4c95161-65bb-4208-8dc3-df4cb5328533,CUST_00001,2026-02-28,79.21,Software,income,target back-end web-readiness
49b256cb-83a1-49cb-973f-d439a0d53574,CUST_00001,2025-12-23,662.07,Office Supplies,expense,deliver bleeding-edge systems
52f825eb-368c-47d4-a5bf-10154d1bac6f,CUST_00001,2026-04-05,193.91,Office Supplies,expense,transition e-business networks
4d03eafe-5a94-4b40-92c6-5615959c952b,CUST_00001,2025-12-01,178.14,Travel,income,embrace robust models
75be012d-9ffd-4e78-8f12-56c69a462653,CUST_00001,2026-01-16,22.1,Travel,income,envisioneer end-to-end infrastructures
a865d20e-a682-4b73-bac2-38d0f7273cbc,CUST_00001,2025-11-13,524.53,Equipment,expense,brand seamless paradigms
ef0511f3-fefd-487e-a831-d425eef78814,CUST_00001,2026-05-01,55.31,Consulting,expense,streamline wireless networks
f8b10044-201f-410c-9f7b-50dc42109e3d,CUST_00001,2025-10-11,262.94,Consulting,income,extend 24/365 interfaces
c8c95003-7b18-42ce-aa96-13c11d0789ca,CUST_00001,2025-12-25,341.33,Software,income,expedite end-to-end solutions
4c9dcb0f-bf21-4aa8-b6b8-bf8fab68b428,CUST_00001,2025-10-23,1252.37,Marketing,income,generate world-class e-services
306f6cc5-a60b-4b21-87af-57c0acb5b288,CUST_00001,2026-03-16,50.88,Payroll,income,empower real-time mindshare
3bdd68a7-c6aa-45b5-9390-6cceda774a00,CUST_00001,2025-10-13,6.53,Rent,expense,brand real-time systems
573b34dd-8763-484c-babe-b590c73f1f5f,CUST_00001,2026-01-29,305.09,Software,expense,integrate granular initiatives
33890eb5-cdb1-42da-8ada-5298e0a835f8,CUST_00001,2026-02-07,2123.06,Travel,expense,enhance transparent vortals
05cf4ed7-1877-4519-a482-404da03adaf0,CUST_00001,2025-12-14,1082.18,Software,income,empower user-centric ROI
f208ca87-0ec9-4c86-8586-d5e9c71dae27,CUST_00001,2026-01-19,314.69,Rent,expense,orchestrate value-added communities
ff5d7e03-7573-4de0-bfff-97afea8a52ef,CUST_00001,2025-12-12,135.64,Utilities,income,optimize frictionless solutions
f9ec16f2-5eee-437c-a529-8aca4196e5b7,CUST_00001,2026-03-17,644.55,Office Supplies,expense,extend holistic methodologies
deea0719-cf2f-4a57-b7dc-0fdda02c17a9,CUST_00001,2026-01-17,76.08,Rent,expense,extend B2B synergies
ee310fb9-101d-49bd-b5ba-6748525c86e5,CUST_00001,2026-01-29,433.39,Software,expense,seize open-source synergies
47778e27-5eaf-4a17-8607-3c272802af31,CUST_00001,2026-03-05,448.79,Rent,expense,matrix best-of-breed e-tailers
723f9717-6ff9-4f7b-9ca1-235bff1a0f65,CUST_00001,2025-12-02,873.28,Utilities,income,implement leading-edge web-readiness
689fbe89-79b7-4c59-b61e-1a36a768de69,CUST_00001,2025-11-06,6711.6,Marketing,expense,utilize enterprise action-items
a8266270-f8c4-4121-8cb9-274cf8b419a6,CUST_00001,2026-05-04,391.86,Software,income,generate distributed interfaces
48963605-e176-406a-83f9-3a3fae40bffc,CUST_00001,2025-11-13,132.85,Marketing,expense,target web-enabled applications
d56c6461-2940-4941-95a5-2c107b64df31,CUST_00001,2025-10-26,237.3,Software,income,embrace clicks-and-mortar synergies
d1529dfc-41ca-4ff1-9a5c-06869613a68f,CUST_00001,2026-02-24,29.29,Travel,income,mesh e-business initiatives
8e9cb4f9-9244-4769-b997-3ecb096a0db2,CUST_00001,2025-12-28,106.31,Consulting,income,morph 24/7 interfaces
7a101a85-c892-4762-8193-ac3de716ab76,CUST_00001,2026-03-23,149.73,Consulting,expense,exploit clicks-and-mortar web-readiness
c857a974-5a5e-4f65-8702-4b0eabfbebaa,CUST_00001,2026-02-14,130.46,Marketing,expense,benchmark e-business architectures
09fb4237-b7d2-4091-a68e-792796c90ee2,CUST_00001,2025-12-04,293.78,Equipment,income,maximize B2C action-items
